NodeID,sex,location,post_count,follower_count,following_count,level,vip_level,checkmark_type
1,0,0,633,8,149,0,0,-1
2,1,1,7430,580,1305,37,1,220
3,1,2,34,10,276,4,0,-1
4,0,1,29217,1136,2163,46,1,220
5,0,1,3404,8491,2807,35,6,2
6,1,0,179,2109,498,45,1,-1
7,0,-1,20691,2325,1012,48,6,-1
8,1,3,21236,2310,594,48,7,-1
9,2,40,13605,382,668,38,1,3
10,1,4,4657,146,351,34,1,220
11,0,5,1597,595,619,48,6,220
12,0,6,2871,461,509,37,2,-1
13,1,1,6747,327,367,23,5,220
14,0,1,20208,1254,884,45,0,-1
15,1,0,3493,291,1280,48,7,220
16,1,2,6801,578,360,35,0,-1
17,2,40,13605,382,668,38,1,3
18,1,7,2010,1165,1077,4,0,-1
19,1,4,17541,309,1773,44,1,220
20,0,8,4538,116,353,14,1,-1
21,1,9,3822,454,933,40,0,220
22,1,10,20066,24,185,9,1,-1
23,0,11,51654,868,1298,48,0,-1
24,1,8,4627,219,833,2,0,-1
25,0,1,1415,1387,540,34,0,220
26,1,8,23978,967,727,43,4,0
27,1,0,5877,127,267,9,0,-1
28,1,0,7257,636,1097,37,6,-1
29,0,8,30484,109,425,4,6,-1
30,1,12,62841,1731,2630,46,0,220
31,1,0,44542,1098,1575,48,6,-1
32,0,13,9605,1077,819,40,0,-1
33,2,40,13605,382,668,38,1,3
34,1,8,2456,13,1072,0,0,-1
35,1,8,27345,521,1161,47,0,-1
36,1,0,26168,317,790,43,4,-1
37,1,14,25022,303,319,30,0,0
38,1,15,31546,79,523,9,0,-1
39,1,0,3061,102,557,14,1,-1
40,1,16,54210,575,1564,47,5,-1
41,1,17,20731,326,2179,42,7,0
42,1,18,1897,248,460,36,6,-1
43,0,8,6533,203,584,36,0,-1
44,1,8,1668,124,1036,9,0,-1
45,1,0,6014,1229,554,48,7,220
46,1,0,21951,930,733,47,6,-1
47,1,-1,509,82,154,9,3,-1
48,2,40,13605,382,668,38,1,3
49,1,19,9292,272,482,4,4,-1
50,1,19,19475,44,155,0,0,-1
51,1,0,21684,937,542,45,4,220
52,1,20,17261,2515,1119,44,1,-1
53,1,0,11449,69,382,9,1,-1
54,1,0,18999,648,1372,4,5,0
55,1,21,16892,662,668,14,0,-1
56,1,22,455,219,146,28,1,-1
57,1,8,25413,451,462,42,4,220
58,1,23,44097,229000,4439,48,8,0
59,1,24,335,334,367,32,0,-1
60,1,25,10568,519,2644,41,1,-1
61,1,0,21808,330,1322,40,0,-1
62,0,8,2034,190,91,14,0,-1
63,2,40,13605,382,668,38,1,3
64,1,22,18505,1484,881,42,0,220
65,0,8,23167,29000,189,40,7,0
66,1,11,55837,105,1211,46,6,-1
67,1,26,22084,6774,939,48,6,0
68,0,27,12334,159,337,44,4,220
69,0,8,7894,212,2758,27,2,-1
70,1,8,19186,382,565,9,1,-1
71,1,28,29551,809,680,48,7,220
72,0,2,25153,293,605,3,0,-1
73,1,29,2330,302,573,33,4,-1
74,1,8,3250,39,490,4,1,-1
75,0,30,25691,188,556,48,7,-1
76,1,16,6113,602,907,36,0,220
77,0,20,61015,64000,1359,48,7,0
78,1,31,18990,363,791,28,0,-1
79,0,16,13084,491,925,43,1,220
80,1,28,29551,809,680,48,7,220
81,1,0,9751,861,299,0,0,-1
82,0,8,20372,236,517,44,0,-1
83,1,22,27581,327,4705,35,0,-1
84,0,1,11162,345,700,38,0,-1
85,0,0,308,184,151,32,0,-1
86,1,2,52850,1414,1429,44,2,220
87,0,1,10493,812,333,45,6,-1
88,0,8,16612,1314,3061,44,0,0
89,1,32,3258,137,368,29,0,-1
90,0,1,102226,1794,1467,46,1,220
91,0,2,39361,350,1485,40,0,-1
92,1,8,10292,493,199,43,1,220
93,1,0,30520,1592,1068,43,0,-1
94,1,8,17351,113,1057,9,0,-1
95,1,33,2554,53,250,4,0,-1
96,0,0,6546,1018,929,40,0,-1
97,1,34,18304,391,544,35,1,-1
98,1,35,18740,4095,423,48,7,220
99,1,36,13605,251,555,34,0,-1
100,2,40,13605,382,668,38,1,3
101,1,37,16360,295,550,46,7,-1
102,1,0,254547,1644,600,48,0,0
103,1,8,7794,44,923,40,0,-1
104,1,38,5389,207,694,29,1,-1
105,1,20,3008,93,511,14,1,-1
